usernames,post_captions,like_counts,comments_counts,comments_content,comment_user,types,id,post_lang,comment_lang,lang_comb
koma.kw,شنو قهوتك بعد الغدا ؟ | #KOMAask,-1,5,كولد برو بس قبل كل شي لازم ينزل الحلوووو 😍😍,t_almutairi,GraphImage,2112480762623449444,ar,ar,arar
koma.kw,شنو قهوتك بعد الغدا ؟ | #KOMAask,-1,5,قهوه عربيه,kdousari,GraphImage,2112480762623449444,ar,ar,arar
koma.kw,شنو قهوتك بعد الغدا ؟ | #KOMAask,-1,5,عربية👏🏼,bader_alhusainan,GraphImage,2112480762623449444,ar,ar,arar
koma.kw,شنو قهوتك بعد الغدا ؟ | #KOMAask,-1,5,V60,coofetalk,GraphImage,2112480762623449444,ar,en,aren
koma.kw,ALMOND CROISSANTS 🥐 | #KOMAvibes,-1,5,مغرمش,aturki9,GraphImage,2110821089465899462,en,ar,enar
koma.kw,ALMOND CROISSANTS 🥐 | #KOMAvibes,-1,5,😋,bader_alhusainan,GraphImage,2110821089465899462,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,ALMOND CROISSANTS 🥐 | #KOMAvibes,-1,5,جدداً لذيذ 😍😍😍😍,a7med_alm,GraphImage,2110821089465899462,en,ar,enar
koma.kw,ALMOND CROISSANTS 🥐 | #KOMAvibes,-1,5,مچكنم,t_almutairi,GraphImage,2110821089465899462,en,ar,enar
koma.kw,ALMOND CROISSANTS 🥐 | #KOMAvibes,-1,5,the next level corwason,faisal_abdulazizel,GraphImage,2110821089465899462,en,en,enen
koma.kw,CHEMEX FEELS | #KOMAmood,-1,2,❤️,bader_alhusainan,GraphImage,2106036268575453928,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,CHEMEX FEELS | #KOMAmood,-1,2,برستيج,faisal_abdulazizel,GraphImage,2106036268575453928,en,ar,enar
koma.kw,STOCKHOLDER |#KOMAmood,-1,2,❤️,bader_alhusainan,GraphImage,2104588533120754905,en,Emjoi or No Caption,enEmjoi or No Caption
koma.kw,STOCKHOLDER |#KOMAmood,-1,2,انه البن ياولد,faisal_abdulazizel,GraphImage,2104588533120754905,en,ar,enar
